"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4213","should sort products by price (low to high)","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:54:53 IST 2024","","example.spec.ts","",""
"","5733","should complete the checkout process","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:54:55 IST 2024","","example.spec.ts","",""
"","3255","has title","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:54:53 IST 2024","","example.spec.ts","",""
"","4269","should reset app state","e2e tests","Tue Jul 30 15:54:56 IST 2024","passed","Tue Jul 30 15:55:00 IST 2024","","example.spec.ts","",""
"","4765","should add a product to the cart","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:54:54 IST 2024","","example.spec.ts","",""
"","12465","should navigate using the menu","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:55:02 IST 2024","","example.spec.ts","",""
"","5225","should navigate back to products from item details","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:54:54 IST 2024","","example.spec.ts","",""
"","4079","should not log in with invalid credentials","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:54:53 IST 2024","","example.spec.ts","",""
"","3650","should view the details of an inventory item","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:54:53 IST 2024","","example.spec.ts","",""
"","3079","should verify the image of an inventory item","e2e tests","Tue Jul 30 15:54:55 IST 2024","failed","Tue Jul 30 15:54:58 IST 2024","","example.spec.ts","",""
"","3118","should add multiple products to the cart","e2e tests","Tue Jul 30 15:54:54 IST 2024","passed","Tue Jul 30 15:54:58 IST 2024","","example.spec.ts","",""
"","3188","should log in with valid credentials","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:54:52 IST 2024","","example.spec.ts","",""
"","3567","should remove multiple products from the cart","e2e tests","Tue Jul 30 15:54:55 IST 2024","passed","Tue Jul 30 15:54:58 IST 2024","","example.spec.ts","",""
"","5291","get started link","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:54:55 IST 2024","","example.spec.ts","",""
"","5279","should remove a product from the cart","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:54:55 IST 2024","","example.spec.ts","",""
"","32939","should verify footer links","e2e tests","Tue Jul 30 15:54:56 IST 2024","broken","Tue Jul 30 15:55:29 IST 2024","","example.spec.ts","",""
"","5127","should log out successfully","e2e tests","Tue Jul 30 15:54:49 IST 2024","passed","Tue Jul 30 15:54:54 IST 2024","","example.spec.ts","",""
